dataset,seed,model,probability_calibration,defer_cost,mondrian_cost,mondrian_abstain,threshold_cost,cost_diff,cost_diff_ci_lo,cost_diff_ci_hi,p_mondrian_cheaper,mondrian_wins
uci_default,19,et,none,0.5,0.55025,0.5011666666666666,0.694,-0.14375,-0.17109375000000002,-0.11724375,1.0,True
uci_default,19,et,none,1.0,0.8008333333333333,0.5011666666666666,0.694,0.10683333333333334,0.0791625,0.13367083333333332,0.0,False
uci_default,19,et,none,2.0,1.302,0.5011666666666666,0.694,0.608,0.5773291666666667,0.637675,0.0,False
uci_default,19,et,sigmoid,0.0,0.29333333333333333,0.502,0.7103333333333334,-0.417,-0.43833333333333335,-0.39566666666666667,1.0,True
uci_default,19,et,sigmoid,0.5,0.5443333333333333,0.502,0.7103333333333334,-0.166,-0.18541875,-0.14533125000000002,1.0,True
uci_default,19,et,sigmoid,1.0,0.7953333333333333,0.502,0.7103333333333334,0.085,0.0651625,0.106,0.0,False
uci_default,19,et,sigmoid,2.0,1.2973333333333332,0.502,0.7103333333333334,0.587,0.5625,0.6106708333333334,0.0,False
uci_default,19,et,isotonic,0.0,0.26716666666666666,0.5433333333333333,0.7078333333333333,-0.44066666666666665,-0.4523375,-0.42816666666666664,1.0,True
uci_default,19,et,isotonic,0.5,0.5388333333333334,0.5433333333333333,0.7078333333333333,-0.169,-0.17708333333333334,-0.16125,1.0,True
uci_default,19,et,isotonic,1.0,0.8105,0.5433333333333333,0.7078333333333333,0.10266666666666667,0.09549583333333334,0.11033333333333334,0.0,False
uci_default,19,et,isotonic,2.0,1.3538333333333334,0.5433333333333333,0.7078333333333333,0.646,0.6294958333333333,0.6623416666666666,0.0,False
uci_default,19,gb,none,0.0,0.258,0.5201666666666667,0.69,-0.432,-0.45600833333333335,-0.4053291666666667,1.0,True
uci_default,19,gb,none,0.5,0.5180833333333333,0.5201666666666667,0.69,-0.17191666666666666,-0.19459166666666666,-0.14649583333333333,1.0,True
uci_default,19,gb,none,1.0,0.7781666666666667,0.5201666666666667,0.69,0.08816666666666667,0.065,0.1133375,0.0,False
uci_default,19,gb,none,2.0,1.2983333333333333,0.5201666666666667,0.69,0.6083333333333333,0.5806666666666667,0.6356791666666667,0.0,False
uci_default,19,gb,sigmoid,0.0,0.2861666666666667,0.5,0.704,-0.41783333333333333,-0.4428375,-0.38916666666666666,1.0,True
uci_default,19,gb,sigmoid,0.5,0.5361666666666667,0.5,0.704,-0.16783333333333333,-0.19058541666666667,-0.14149583333333332,1.0,True
uci_default,19,gb,sigmoid,1.0,0.7861666666666667,0.5,0.704,0.08216666666666667,0.058666666666666666,0.10767499999999999,0.0,False
uci_default,19,gb,sigmoid,2.0,1.2861666666666667,0.5,0.704,0.5821666666666667,0.5533333333333333,0.6103416666666666,0.0,False
uci_default,19,gb,isotonic,0.0,0.14483333333333334,0.6716666666666666,0.7068333333333333,-0.562,-0.5736708333333334,-0.5501666666666667,1.0,True
uci_default,19,gb,isotonic,0.5,0.4806666666666667,0.6716666666666666,0.7068333333333333,-0.22616666666666665,-0.23441874999999998,-0.21808125,1.0,True
uci_default,19,gb,isotonic,1.0,0.8165,0.6716666666666666,0.7068333333333333,0.10966666666666666,0.1016625,0.11733333333333333,0.0,False
uci_default,19,gb,isotonic,2.0,1.4881666666666666,0.6716666666666666,0.7068333333333333,0.7813333333333333,0.7658291666666667,0.7965,0.0,False
uci_default,19,ada,none,0.0,0.23483333333333334,0.5648333333333333,0.6973333333333334,-0.4625,-0.4805,-0.4423291666666667,1.0,True
