dataset,model,probability_calibration,method,n_seeds,marginal_coverage_mean,marginal_coverage_ci_lo,marginal_coverage_ci_hi,coverage_class_0_mean,coverage_class_0_ci_lo,coverage_class_0_ci_hi,coverage_class_1_mean,coverage_class_1_ci_lo,coverage_class_1_ci_hi,average_set_size_mean,average_set_size_ci_lo,average_set_size_ci_hi,abstention_rate_mean,abstention_rate_ci_lo,abstention_rate_ci_hi,mean_cost_mean,mean_cost_ci_lo,mean_cost_ci_hi
uci_default,et,isotonic,capacity_limited_mondrian,10,0.8414666666666667,0.8370511450205407,0.8458821883127927,0.9115771453028035,0.9025681559058399,0.9205861346997671,0.5945742275810098,0.5792451719098756,0.6099032832521439,1.1,1.1,1.1,0.1,0.1,0.1,0.9655333333333335,0.9374915035415015,0.9935751631251655
uci_default,et,isotonic,capacity_limited_raps,10,0.8586166666666667,0.8569905723380892,0.8602427609952442,0.9704472501604965,0.9672600362246655,0.9736344640963275,0.4648078372268275,0.45544356207231607,0.47417211238133894,1.1,1.1,1.1,0.1,0.1,0.1,1.2066833333333336,1.1877882745645298,1.2255783921021373
uci_default,et,isotonic,capacity_limited_risk_controlled_rejector,10,0.8611333333333333,0.8593736403747062,0.8628930262919604,0.97126043227049,0.9687113956440425,0.9738094688969374,0.4733232856066315,0.46322266177280547,0.48342390944045754,1.1,1.1,1.1,0.1,0.1,0.1,1.1872166666666666,1.166130421192483,1.2083029121408502
uci_default,et,isotonic,class_conditional_rejector,10,0.9594999999999999,0.9528299889129601,0.9661700110870397,0.9994222127113204,0.9990794636519384,0.9997649617707023,0.818914845516202,0.7891529460969539,0.8486767449354501,1.5489499999999998,1.5016201683710504,1.5962798316289493,0.5489499999999999,0.5016201683710506,0.5962798316289493,0.40095000000000003,0.33504326863993406,0.466856731360066
uci_default,et,isotonic,class_weighted_threshold,10,0.4391999999999999,0.40614527881837353,0.4722547211816263,0.3019901562165633,0.2540583223303435,0.3499219901027831,0.9223813112283347,0.9026803831977981,0.9420822392588712,1.0,1.0,1.0,0.0,0.0,0.0,0.7153,0.7056858078772661,0.724914192122734
uci_default,et,isotonic,confidence_rejector,10,0.9994,0.9990654434296483,0.9997345565703516,0.9995934089450031,0.9992599094590758,0.9999269084309305,0.9987189148455162,0.9977330075505345,0.9997048221404979,1.9876999999999998,1.982065949570077,1.9933340504299226,0.9877,0.9820659495700772,0.9933340504299228,0.00315,0.0009611166497532006,0.0053388833502467994
uci_default,et,isotonic,cost_controlled_mondrian,10,0.9941500000000001,0.9926314391315753,0.9956685608684249,0.9934089450032099,0.9916685459455649,0.9951493440608549,0.9967596081386587,0.9941539319266615,0.999365284350656,1.9545333333333335,1.9414619671414062,1.9676046995252607,0.9545333333333332,0.9414619671414061,0.9676046995252604,0.012300000000000002,0.006265590372243899,0.018334409627756107
uci_default,et,isotonic,cost_tuned_threshold,10,0.4398833333333333,0.40759044100600844,0.47217622566065814,0.30372351808260223,0.2573255909253481,0.35012144523985633,0.9193669932177844,0.9015514092651165,0.9371825771704523,1.0,1.0,1.0,0.0,0.0,0.0,0.7206166666666667,0.7120653108691741,0.7291680224641592
uci_default,et,isotonic,marginal_cp,10,0.9092500000000001,0.9022418769353779,0.9162581230646223,0.994436122405307,0.9915081070544981,0.9973641377561159,0.6092690278824415,0.581547041362279,0.6369910144026041,1.264233333333333,1.2362376548273146,1.2922290118393516,0.2642333333333333,0.23623765482731482,0.2922290118393518,0.8685,0.8066327484223053,0.9303672515776948
uci_default,et,isotonic,mondrian_cp,10,0.9148499999999998,0.9068582009040438,0.9228417990959559,0.9115771453028035,0.9025681559058399,0.9205861346997671,0.9263752825923135,0.9080379990993632,0.9447125660852638,1.5930166666666667,1.5483934087941122,1.6376399245392212,0.5930166666666666,0.5483934087941121,0.6376399245392211,0.23169999999999996,0.1907620698467232,0.27263793015327675
