dataset,model,probability_calibration,marginal_minority_coverage,mondrian_minority_coverage,coverage_gain,mondrian_abstention,mondrian_cost,break_even_defer_cost,failure_mode
wilt,ada,isotonic,0.4365384615384615,0.9365384615384615,0.5,0.14111570247933886,0.06601239669421488,0.20497803806734993,low_review_cost_tolerance
sick_numeric,hgb,isotonic,0.4804347826086957,0.9456521739130436,0.46521739130434786,0.11271523178807948,0.05086092715231788,0.23501762632197418,low_review_cost_tolerance
sick_numeric,gb,isotonic,0.46739130434782605,0.9304347826086957,0.46304347826086967,0.10370860927152319,0.06900662251655629,0.17369093231162197,low_review_cost_tolerance
sick_numeric,ada,sigmoid,0.0,0.9043478260869566,0.9043478260869566,0.09483443708609271,0.08,0.12849162011173187,low_review_cost_tolerance
sick_numeric,ada,none,0.0391304347826087,0.9195652173913043,0.8804347826086956,0.09390728476821192,0.07443708609271524,0.18476727785613542,low_review_cost_tolerance
aps_failure,et,none,0.004363636363636364,0.8934545454545455,0.8890909090909092,0.08701315789473682,0.015243421052631578,0.1729169817027068,low_review_cost_tolerance
aps_failure,hgb,none,0.007272727272727273,0.9050909090909091,0.8978181818181817,0.08695394736842105,0.016302631578947367,0.1683437996519634,low_review_cost_tolerance
aps_failure,rf,sigmoid,0.001090909090909091,0.8952727272727273,0.8941818181818182,0.08674342105263158,0.015335526315789475,0.17846037163443307,low_review_cost_tolerance
aps_failure,rf,none,0.0007272727272727272,0.8996363636363636,0.8989090909090909,0.08594736842105263,0.014671052631578946,0.16855480710349052,low_review_cost_tolerance
aps_failure,et,sigmoid,0.006909090909090909,0.8945454545454545,0.8876363636363637,0.08593421052631578,0.016065789473684207,0.18572959730515998,low_review_cost_tolerance
aps_failure,hgb,sigmoid,0.0,0.9043636363636363,0.9043636363636363,0.08564473684210526,0.017631578947368422,0.17014902442771546,low_review_cost_tolerance
miniboone,logreg,sigmoid,0.7627808219178083,0.9001095890410958,0.13732876712328757,0.08228962441855994,0.35223542075116293,0.0671774268896571,low_review_cost_tolerance
aps_failure,gb,sigmoid,0.0,0.8963636363636363,0.8963636363636363,0.07725000000000001,0.023625,0.1809742803610969,low_review_cost_tolerance
aps_failure,gb,none,0.02727272727272727,0.8960000000000001,0.8687272727272729,0.07644736842105264,0.022355263157894736,0.19053356282271944,low_review_cost_tolerance
fraud,et,sigmoid,0.0,0.8818181818181818,0.8818181818181818,0.07576278922790633,0.0181401636178505,0.0,low_review_cost_tolerance
aps_failure,logreg,none,0.3265454545454546,0.8934545454545454,0.5669090909090908,0.07257236842105264,0.03545394736842106,0.08240413380473212,low_review_cost_tolerance
miniboone,logreg,none,0.7525068493150685,0.8992054794520546,0.14669863013698614,0.07197170645446507,0.35469957329027796,0.0,low_review_cost_tolerance
fraud,ada,none,0.0030303030303030303,0.909090909090909,0.9060606060606059,0.06902320845475932,0.05292300129911169,0.0,low_review_cost_tolerance
aps_failure,ada,sigmoid,0.0,0.8945454545454545,0.8945454545454545,0.06878947368421051,0.034124999999999996,0.2050497322111706,low_review_cost_tolerance
fraud,logreg,sigmoid,0.0,0.8868686868686868,0.8868686868686868,0.06787683016748007,0.03656121624942944,0.0,low_review_cost_tolerance
fraud,logreg,none,0.2686868686868687,0.8848484848484848,0.6161616161616161,0.06760471893543066,0.035585126926723075,0.0,low_review_cost_tolerance
aps_failure,ada,none,0.0,0.9047272727272728,0.9047272727272728,0.06719078947368422,0.03631578947368421,0.1742876725741702,low_review_cost_tolerance
fraud,ada,sigmoid,0.0,0.915151515151515,0.915151515151515,0.06274182788525684,0.05442751307889469,0.0,low_review_cost_tolerance
aps_failure,logreg,sigmoid,0.0,0.8996363636363638,0.8996363636363638,0.06251973684210525,0.045664473684210526,0.0,low_review_cost_tolerance
wilt,hgb,none,0.17884615384615382,0.9365384615384615,0.7576923076923077,0.06219008264462811,0.052582644628099175,0.06146179401993355,low_review_cost_tolerance
fraud,ada,isotonic,0.20404040404040408,0.9323232323232322,0.7282828282828282,0.05943962641761173,0.04625188722306099,0.0,low_review_cost_tolerance
fraud,gnb,sigmoid,0.0,0.8767676767676769,0.8767676767676769,0.056349847266598786,0.05973455988202662,0.0,low_review_cost_tolerance
aps_failure,hgb,isotonic,0.28036363636363637,0.9189090909090909,0.6385454545454545,0.05601973684210526,0.022105263157894732,0.16793893129770993,low_review_cost_tolerance
wilt,et,none,0.0,0.9423076923076923,0.9423076923076923,0.05526859504132231,0.0537190082644628,0.16635514018691588,low_review_cost_tolerance
fraud,logreg,isotonic,0.19696969696969696,0.898989898989899,0.702020202020202,0.05448720199431199,0.030104280046346688,0.0,low_review_cost_tolerance
fraud,gnb,none,0.7626262626262628,0.8757575757575757,0.11313131313131297,0.05181348969488432,0.059669604297601896,0.0,low_review_cost_tolerance
