model,probability_calibration,method,marginal_coverage_mean,coverage_class_1_mean,average_set_size_mean,abstention_rate_mean,mean_cost_mean,cost_rank,minority_coverage_rank
et,none,raps_cp,0.9022898648308035,0.5238806238765645,1.0428780209626602,0.14228181863963069,0.432130004219417,4.6,4.8
et,none,risk_controlled_rejector,0.9403231732905772,0.4026593611765128,1.05028197684179,0.050281976841789804,0.5407172814380644,5.666666666666667,5.9
et,none,smote_threshold,0.7982978068827308,0.8362763192700905,1.0,0.0,0.3075565338483405,2.7333333333333334,3.1666666666666665
et,sigmoid,aps_cp,0.9009605513295578,0.4660927225117703,1.0544624716904172,0.1567663950071453,0.4425849083050476,4.0,3.7
et,sigmoid,capacity_limited_aps,0.8975520827710752,0.41728309833488714,1.0070700000042323,0.08576028672652944,0.5830246441210879,4.266666666666667,3.8333333333333335
et,sigmoid,capacity_limited_class_conditional_rejector,0.9294415151431575,0.31224762573779574,1.0298352893090097,0.02983528930900966,0.6622550622404659,3.7,3.7333333333333334
et,sigmoid,capacity_limited_confidence_rejector,0.9489171803131804,0.6652975206540438,1.098858344320502,0.09885834432050201,0.4676738016338193,3.1333333333333333,3.1333333333333333
et,sigmoid,capacity_limited_mondrian,0.8835108728456511,0.7769100950033238,1.04250219630784,0.08439780481374244,0.3520867334924922,2.8,2.8
et,sigmoid,capacity_limited_raps,0.8891947241002823,0.351922046106298,0.9898841363658566,0.0749019435040101,0.6271298532969428,4.466666666666667,4.033333333333333
et,sigmoid,capacity_limited_risk_controlled_rejector,0.9267018227139437,0.3085306320782633,1.0221201999260898,0.02212019992608968,0.668777948856661,4.033333333333333,4.033333333333333
et,sigmoid,class_conditional_rejector,0.9493191079821836,0.3764854057488792,1.0949524360657572,0.09495243606575719,0.48422478744832304,4.233333333333333,4.233333333333333
et,sigmoid,class_weighted_threshold,0.8003790637671975,0.8262571899233697,1.0,0.0,0.31502702346299477,2.7333333333333334,3.1666666666666665
et,sigmoid,confidence_rejector,0.9983882672322466,0.9790428857349821,1.8019962940729475,0.8019962940729477,0.016086174734368616,5.466666666666667,5.3
et,sigmoid,cost_controlled_mondrian,0.984036267007092,0.9593129680904734,1.558859326451633,0.5666940582930866,0.03914237161338516,4.8,4.8
et,sigmoid,cost_tuned_threshold,0.8063413147260273,0.8210698909620814,1.0,0.0,0.30990672889484416,2.6,3.3666666666666667
et,sigmoid,marginal_cp,0.9010136501625721,0.2194399153412969,0.9997179538090261,0.10753808789846113,0.40381487560918894,2.7,3.8666666666666667
et,sigmoid,mondrian_cp,0.9032756561347907,0.9074930271627449,1.2343659189950922,0.2765712811898526,0.15289013215680708,3.8666666666666667,4.366666666666666
et,sigmoid,random_oversampling_threshold,0.7925168669496008,0.8302152812558568,1.0,0.0,0.31870796533277906,2.8,2.933333333333333
et,sigmoid,raps_cp,0.9012622105030128,0.3963811684283717,1.0398166675246747,0.1269870932177934,0.5023843041107415,4.266666666666667,3.8333333333333335
et,sigmoid,risk_controlled_rejector,0.9387943449782491,0.34764038243437095,1.0519768996906511,0.05197689969065105,0.5570305294688015,4.1,4.1
et,sigmoid,smote_threshold,0.7893350278341027,0.8396621989348992,1.0,0.0,0.31638294927700905,2.8,2.966666666666667
gb,isotonic,aps_cp,0.9013641302338443,0.6146080275334911,1.07507315391735,0.1960521432939683,0.3199514742606693,3.8666666666666667,3.7
gb,isotonic,capacity_limited_aps,0.9096519047439351,0.5669282234033453,1.0292052716477271,0.0984733935676389,0.4579446739528743,3.533333333333333,3.533333333333333
gb,isotonic,capacity_limited_class_conditional_rejector,0.9377157871855635,0.47220117049468624,1.0367111366253963,0.03671113662539622,0.5358516017928321,3.466666666666667,3.533333333333333
gb,isotonic,capacity_limited_confidence_rejector,0.948223062648819,0.6479498691250691,1.0962079266165867,0.09620792661658682,0.4279367604732799,3.8666666666666667,3.8
gb,isotonic,capacity_limited_mondrian,0.9113247584017194,0.7187389979073037,1.0704360379514628,0.08267058147889329,0.372932592145214,3.2666666666666666,3.8
gb,isotonic,capacity_limited_raps,0.8943545796685594,0.5107774372336875,0.997241835385981,0.08732423910456749,0.49432395257779455,3.466666666666667,3.4
gb,isotonic,capacity_limited_risk_controlled_rejector,0.9321216621705811,0.46970253233505516,1.0224886006511844,0.0224886006511845,0.5430847551233666,3.3333333333333335,3.2666666666666666
gb,isotonic,class_conditional_rejector,0.9577608154552684,0.5282693182721956,1.1156532464470907,0.1156532464470906,0.3811628413457942,4.0,4.0
gb,isotonic,class_weighted_threshold,0.8040968316086118,0.8071101440206213,1.0,0.0,0.31794770798775907,3.533333333333333,3.8
gb,isotonic,confidence_rejector,0.9958584891127872,0.9609366686594736,1.7085128402180347,0.7085128402180348,0.026128331324676995,3.4,3.3333333333333335
gb,isotonic,cost_controlled_mondrian,0.9913559761625753,0.9751453117189075,1.7229088542373114,0.7258725489812592,0.023337453297793777,4.8,5.133333333333334
gb,isotonic,cost_tuned_threshold,0.7873813910138272,0.7989854210008686,1.0,0.0,0.3233288508915931,3.7333333333333334,3.533333333333333
gb,isotonic,marginal_cp,0.9236058269066135,0.36355330661368135,1.037201285059426,0.0959763076057691,0.38888820098447735,4.0,3.6666666666666665
gb,isotonic,mondrian_cp,0.9382651016300957,0.9425123176450307,1.4620975801758458,0.4743321237032762,0.11612915986145193,4.4,4.2
gb,isotonic,random_oversampling_threshold,0.794189996997392,0.8193357894611086,1.0,0.0,0.31991875159481337,3.466666666666667,3.6333333333333333
gb,isotonic,raps_cp,0.9017688926101339,0.5464120898858212,1.0434848342725256,0.14529208843174832,0.38954748599478545,3.466666666666667,3.4
gb,isotonic,risk_controlled_rejector,0.9449930947066076,0.5031608655340893,1.0618471387706327,0.06184713877063263,0.44665382110305296,3.6,3.533333333333333
gb,isotonic,smote_threshold,0.795466256964373,0.8099617639396094,1.0,0.0,0.32344667732058663,3.933333333333333,4.7
gb,none,aps_cp,0.9005151031836776,0.6127508925610811,1.0566979781948742,0.17698570255631016,0.3313486042618644,3.8,4.066666666666666
gb,none,capacity_limited_aps,0.906803189458431,0.5723125096044747,1.0205107428175186,0.09811141675166563,0.4421671816659635,3.3333333333333335,3.8
gb,none,capacity_limited_class_conditional_rejector,0.93930103462438,0.49136720249519417,1.0368839351415569,0.03688393514155685,0.5168999283298322,3.3333333333333335,3.6666666666666665
gb,none,capacity_limited_confidence_rejector,0.9505722577404695,0.6579555177866647,1.0974442120929788,0.09744421209297874,0.41002986827337956,3.7333333333333334,4.133333333333334
gb,none,capacity_limited_mondrian,0.8893925945785561,0.7554207253307563,1.0523460364940025,0.08666647052589209,0.3421751126319314,3.2,3.933333333333333
gb,none,capacity_limited_raps,0.8924694768292106,0.5208148256806571,0.9919713185925098,0.08644532994437383,0.48110298055318274,3.3333333333333335,3.6666666666666665
gb,none,capacity_limited_risk_controlled_rejector,0.9325404179069902,0.4886330417094184,1.0205079205824124,0.020507920582412315,0.5257801558926106,3.466666666666667,3.7333333333333334
gb,none,class_conditional_rejector,0.9561548968415977,0.5349251025203134,1.0999309390427863,0.09993093904278635,0.39631606611261455,3.6666666666666665,3.933333333333333
gb,none,class_weighted_threshold,0.8012799901393267,0.8350732094495338,1.0,0.0,0.3060841188161236,3.3666666666666667,4.0
gb,none,confidence_rejector,0.9980627801908152,0.9592337621631238,1.8055466103045652,0.8055466103045653,0.018370129870126987,3.8,3.933333333333333
gb,none,cost_controlled_mondrian,0.9841634748782399,0.963726718674728,1.5825551233941946,0.5928534142686639,0.03609898258212847,3.8666666666666667,3.9
gb,none,cost_tuned_threshold,0.8017320474265307,0.8023311405174411,1.0,0.0,0.31345461344414455,3.8666666666666667,4.833333333333333
gb,none,marginal_cp,0.9078153582714226,0.30996412937125795,1.0065217066224383,0.0978899193221328,0.397171653963375,4.4,3.6333333333333333
gb,none,mondrian_cp,0.9086632273590509,0.9200124740213689,1.3159707070793796,0.3506800087156697,0.15022444680498243,3.7333333333333334,4.3
gb,none,random_oversampling_threshold,0.8021005010195222,0.8224178161879554,1.0,0.0,0.31083657644481744,3.6666666666666665,3.933333333333333
gb,none,raps_cp,0.900319157533948,0.5480333283543868,1.0297801016063668,0.13159712858905115,0.399096054093599,3.7333333333333334,3.8
gb,none,risk_controlled_rejector,0.9432715290181013,0.5123585713083466,1.0518712539157458,0.05187125391574565,0.45662904478149957,3.6,3.8
gb,none,smote_threshold,0.8002265526926766,0.824162014184912,1.0,0.0,0.3163711998114612,3.6666666666666665,4.166666666666667
gb,sigmoid,aps_cp,0.9022049884877978,0.5045160905572544,1.0495803005976196,0.1536915097063156,0.411230857717968,2.966666666666667,2.966666666666667
gb,sigmoid,capacity_limited_aps,0.899707638078422,0.46285691367571874,1.0064202528614266,0.08874545697602101,0.5303021254336652,2.5,2.566666666666667
gb,sigmoid,capacity_limited_class_conditional_rejector,0.9348148969523219,0.3877287555184083,1.0306032422161193,0.030603242216119316,0.5986111661253806,3.2333333333333334,3.2333333333333334
gb,sigmoid,capacity_limited_confidence_rejector,0.9496607416233042,0.6399917945797706,1.0987400908078824,0.09874009080788214,0.4519038876616256,3.8333333333333335,3.8
gb,sigmoid,capacity_limited_mondrian,0.8889977790879419,0.755263906309486,1.0541768065715322,0.0868866861376157,0.3558396196096808,3.2,3.6333333333333333
gb,sigmoid,capacity_limited_raps,0.8911115791632951,0.41179917878887884,0.9869664469855299,0.07638319001214113,0.5709085068950349,2.7,2.7666666666666666
gb,sigmoid,capacity_limited_risk_controlled_rejector,0.9314376976775769,0.38500045482777023,1.0206311140652033,0.020631114065203345,0.6048417873595702,3.1,3.1
gb,sigmoid,class_conditional_rejector,0.9529840091098268,0.4458889330282467,1.0990023300335918,0.09900233003359181,0.43779205396787557,3.8333333333333335,3.8333333333333335
gb,sigmoid,class_weighted_threshold,0.8080880944665657,0.8043223112810277,1.0,0.0,0.31813921923148175,3.7,4.166666666666667
gb,sigmoid,confidence_rejector,0.9989921444876738,0.9910453439799025,1.935791751543437,0.9357917515434371,0.010030963911568372,3.7666666666666666,3.7333333333333334
gb,sigmoid,cost_controlled_mondrian,0.9818217068670129,0.9590935101643309,1.5883697674646058,0.601308906439172,0.038383589536998546,3.933333333333333,4.1
gb,sigmoid,cost_tuned_threshold,0.807017396639497,0.7891284585401303,1.0,0.0,0.3135419782151408,3.466666666666667,4.266666666666667
gb,sigmoid,marginal_cp,0.9066272478003691,0.2192629867957271,1.0054102667888185,0.09915938172933919,0.41663094828594116,4.166666666666667,3.8666666666666667
gb,sigmoid,mondrian_cp,0.9092740305676202,0.9157013763218358,1.3277194027566646,0.3604981528461642,0.15273275219581592,3.6666666666666665,3.9
gb,sigmoid,random_oversampling_threshold,0.8055288648426118,0.8019586015713881,1.0,0.0,0.3209071245715804,3.6,4.133333333333334
gb,sigmoid,raps_cp,0.9015981656477318,0.449266005998564,1.0339534329147881,0.12584342101626636,0.4647146867142073,3.033333333333333,3.066666666666667
