dataset,model,probability_calibration,defer_cost,n_seeds,mondrian_cost,mondrian_abstain,threshold_cost,cost_diff,cost_diff_ci_lo,cost_diff_ci_hi,p_mondrian_cheaper,mondrian_wins
uci_default,gb,isotonic,0.0,10,0.22396666666666665,0.5867333333333333,0.7111833333333334,-0.4872166666666667,-0.5225862870278443,-0.4518470463054891,1.0,True
uci_default,gb,isotonic,0.5,10,0.5173333333333333,0.5867333333333333,0.7111833333333334,-0.19385,-0.2090627715415472,-0.17863722845845278,1.0,True
uci_default,gb,isotonic,1.0,10,0.8107000000000001,0.5867333333333333,0.7111833333333334,0.09951666666666667,0.09189997645193689,0.10713335688139645,0.0,False
uci_default,gb,isotonic,2.0,10,1.3974333333333333,0.5867333333333333,0.7111833333333334,0.6862499999999999,0.63881913864748,0.7336808613525199,0.0,False
uci_default,gb,none,0.0,10,0.28901666666666664,0.5082,0.7070000000000001,-0.41798333333333326,-0.43153940525246026,-0.40442726141420626,1.0,True
uci_default,gb,none,0.5,10,0.5431166666666666,0.5082,0.7070000000000001,-0.16388333333333333,-0.17342687762150252,-0.15433978904516413,1.0,True
uci_default,gb,none,1.0,10,0.7972166666666667,0.5082,0.7070000000000001,0.09021666666666667,0.08316001974844871,0.09727331358488463,0.0,False
uci_default,gb,none,2.0,10,1.3054166666666667,0.5082,0.7070000000000001,0.5984166666666667,0.5873964601641539,0.6094368731691795,0.0,False
uci_default,gb,sigmoid,0.0,10,0.2877166666666667,0.5115833333333333,0.7094666666666667,-0.42174999999999996,-0.4326789136618037,-0.4108210863381962,1.0,True
uci_default,gb,sigmoid,0.5,10,0.5435083333333334,0.5115833333333333,0.7094666666666667,-0.16595833333333335,-0.17352235978166833,-0.15839430688499836,1.0,True
uci_default,gb,sigmoid,1.0,10,0.7992999999999999,0.5115833333333333,0.7094666666666667,0.08983333333333333,0.08267211914564314,0.09699454752102353,0.0,False
